company,size,industry,city,state,contacts,roles,interactions,interactionSubjects,daysSinceLastInteraction,averageOfferValue,offerClosed,offerHitRate,daysSinceLastOfferClosed,customerClassification
Lane Group,Medium,Automotive R&D and Testing Centers,Nicholstown,Rhode Island,1,CCO,20,"Contract negotiation, Discuss project details, Customer inquiry, Product demostration, Follow-up on proposal, Follow-up on order, Product feedback",109,10273.21,7,0.5,52,C
Carter and Sons,Medium,Connected Car Solutions Providers,North Ashleyland,Nebraska,1,CCO,20,"Product demostration, Follow-up on proposal, Discuss project details, Contract negotiation, Product feedback, Customer inquiry, Follow-up on order",117,10143.35,8,0.5,56,B
Swanson Group,Medium,Automobile Manufacturers (OEMs),West Nicholechester,Alabama,3,"CFO, Sales Manager",18,"Product feedback, Contract negotiation, Customer inquiry, Product demostration, Follow-up on proposal, Follow-up on order",143,10129.04,6,0.46,46,C
Dickson-Cross,Small,Automobile Manufacturers (OEMs),Douglasburgh,Wyoming,1,Sales Manager,15,"Product feedback, Customer inquiry, Contract negotiation, Follow-up on order, Follow-up on proposal, Discuss project details, Product demostration",134,10004.52,9,0.56,86,B
"Patterson, Salas and Rodriguez",Large,Electric Vehicle (EV) Industry,West Moniquebury,Indiana,3,"CCO, Sales Manager, CFO",18,"Follow-up on order, Contract negotiation, Follow-up on proposal, Customer inquiry, Discuss project details, Product feedback, Product demostration",72,10442.29,9,0.53,66,B
Harris Ltd,Large,Automotive R&D and Testing Centers,North Loriland,Illinois,2,"CCO, CFO",24,"Contract negotiation, Discuss project details, Customer inquiry, Follow-up on proposal, Product feedback, Follow-up on order, Product demostration",44,10030.05,8,0.4,89,B
"Anderson, Middleton and Taylor",Small,Automotive R&D and Testing Centers,Port Theresachester,Utah,2,"Sales Representative, CCO",9,"Product feedback, Product demostration, Discuss project details, Follow-up on order, Follow-up on proposal",58,9830.24,11,0.48,43,A
"Kim, Grimes and Palmer",Medium,Automotive R&D and Testing Centers,Whitefort,Michigan,4,"Technical Manager, Sales Manager, Technical Representative",24,"Customer inquiry, Contract negotiation, Follow-up on proposal, Follow-up on order, Discuss project details, Product feedback, Product demostration",95,10171.9,5,0.26,251,C
Simmons and Sons,Small,Ridesharing & Mobility Services,Charleshaven,Hawaii,2,"Sales Representative, Technical Manager",20,"Product demostration, Contract negotiation, Discuss project details, Follow-up on proposal, Follow-up on order, Product feedback",135,9905.39,8,0.62,103,B
"Morris, Frazier and Kramer",Medium,Electric Vehicle (EV) Industry,Maryview,Minnesota,1,CFO,18,"Discuss project details, Product demostration, Product feedback, Follow-up on proposal, Customer inquiry",53,9807.4,9,0.43,71,B
Welch-Lowery,Large,Automotive R&D and Testing Centers,Stefanieborough,Maine,2,"CEO, CCO",18,"Follow-up on proposal, Product demostration, Contract negotiation, Product feedback, Follow-up on order, Customer inquiry, Discuss project details",46,9968.39,13,0.54,48,A
Sanford and Sons,Large,Automobile Manufacturers (OEMs),Lake Tina,Minnesota,1,CCO,15,"Product demostration, Follow-up on proposal, Customer inquiry, Contract negotiation, Discuss project details, Product feedback, Follow-up on order",221,9954.07,9,0.56,156,B
Pena Ltd,Small,Connected Car Solutions Providers,North Kenneth,South Dakota,2,"Technical Manager, Sales Manager",19,"Customer inquiry, Product feedback, Product demostration, Discuss project details, Contract negotiation, Follow-up on order, Follow-up on proposal",52,10157.52,6,0.4,50,C
Cordova-Yu,Large,Fleet Management,East Marissa,Pennsylvania,3,"Technical Manager, Sales Representative, CCO",20,"Contract negotiation, Discuss project details, Product demostration, Follow-up on proposal, Customer inquiry, Product feedback, Follow-up on order",114,9890.22,11,0.48,80,A
James Inc,Medium,Automobile Manufacturers (OEMs),Brandonfurt,Oregon,2,"Sales Manager, Technical Representative",12,"Follow-up on order, Customer inquiry, Follow-up on proposal, Product feedback, Contract negotiation, Product demostration, Discuss project details",88,9825.18,7,0.47,57,C
Estes-Camacho,Medium,Electric Vehicle (EV) Industry,Scottland,Idaho,2,CFO,22,"Discuss project details, Product demostration, Customer inquiry, Product feedback, Contract negotiation, Follow-up on proposal, Follow-up on order",105,10152.38,13,0.54,64,A
Parker-Garcia,Medium,Automobile Manufacturers (OEMs),North Matthewhaven,Mississippi,4,"CCO, Technical Representative, Technical Manager",9,"Customer inquiry, Contract negotiation, Product demostration, Follow-up on proposal, Follow-up on order",87,10180.62,7,0.29,46,C
Holder and Sons,Large,Automotive R&D and Testing Centers,South Brianna,Louisiana,2,Sales Representative,19,"Discuss project details, Contract negotiation, Product feedback, Follow-up on proposal, Follow-up on order, Product demostration, Customer inquiry",76,10080.26,12,0.63,38,A
Robertson Ltd,Small,Connected Car Solutions Providers,Martinville,Hawaii,1,Sales Representative,24,"Follow-up on order, Customer inquiry, Discuss project details, Product demostration, Follow-up on proposal, Contract negotiation, Product feedback",249,9853.63,9,0.6,238,B
Taylor PLC,Small,Electric Vehicle (EV) Industry,Garciatown,Tennessee,2,"CCO, Technical Representative",13,"Follow-up on proposal, Discuss project details, Contract negotiation, Product demostration",43,10130.86,8,0.38,50,B
"Wright, Silva and Harris",Medium,Automobile Manufacturers (OEMs),Johnburgh,Hawaii,1,CEO,14,"Product demostration, Contract negotiation, Discuss project details, Follow-up on proposal, Customer inquiry, Follow-up on order, Product feedback",37,10252.8,8,0.42,125,B
Jackson-Butler,Large,Ridesharing & Mobility Services,Lake Lori,New Mexico,1,Technical Representative,18,"Discuss project details, Follow-up on order, Product feedback, Product demostration, Follow-up on proposal, Contract negotiation, Customer inquiry",61,10115.31,12,0.55,54,A
Stone Group,Medium,Electric Vehicle (EV) Industry,Ashleyfort,New Mexico,4,"Technical Representative, CFO, Technical Manager",15,"Discuss project details, Contract negotiation, Follow-up on order, Customer inquiry, Product demostration, Product feedback, Follow-up on proposal",47,9983.26,6,0.26,97,C
Suarez-Morales,Small,Automotive R&D and Testing Centers,Phillipfort,Ohio,1,CEO,14,"Follow-up on proposal, Follow-up on order, Discuss project details, Contract negotiation, Product demostration, Product feedback, Customer inquiry",134,9902.02,14,0.5,46,A
Green and Sons,Medium,Fleet Management,Taylorside,Kansas,3,"Technical Manager, CFO",15,"Follow-up on proposal, Product demostration, Follow-up on order, Contract negotiation, Discuss project details, Customer inquiry, Product feedback",117,9817.84,8,0.4,202,B
Ford-Wilson,Large,Automobile Manufacturers (OEMs),Kimberlychester,Missouri,1,CEO,13,"Follow-up on proposal, Discuss project details, Product feedback, Customer inquiry, Product demostration, Contract negotiation, Follow-up on order",57,9320.08,2,0.17,190,C
Lucero-Alexander,Small,Connected Car Solutions Providers,Katiestad,Washington,2,"Sales Manager, Technical Representative",20,"Discuss project details, Product demostration, Contract negotiation, Follow-up on proposal, Product feedback, Follow-up on order, Customer inquiry",95,10475.57,11,0.65,100,A
Brown-Terry,Large,Ridesharing & Mobility Services,Lake Arianamouth,Rhode Island,1,CEO,16,"Customer inquiry, Product feedback, Contract negotiation, Follow-up on order, Discuss project details, Product demostration, Follow-up on proposal",69,10390.4,11,0.58,35,A
"Aguilar, Gonzalez and Bates",Medium,Automotive R&D and Testing Centers,East Daniel,Georgia,1,Sales Manager,14,"Follow-up on order, Discuss project details, Product demostration, Follow-up on proposal, Product feedback, Customer inquiry",96,9995.98,11,0.58,85,A
"Hines, Flores and Scott",Large,Fleet Management,Kimtown,Washington,2,"Sales Manager, CCO",16,"Product demostration, Discuss project details, Product feedback, Follow-up on order, Follow-up on proposal, Contract negotiation",197,10045.89,8,0.67,97,B
"Jackson, Cooper and Jenkins",Small,Automobile Manufacturers (OEMs),North Joseph,Alaska,2,"CFO, CCO",17,"Contract negotiation, Customer inquiry, Follow-up on proposal, Product demostration, Discuss project details, Follow-up on order, Product feedback",191,9916.75,9,0.43,86,B
Kelley-Davis,Small,Connected Car Solutions Providers,Petersonport,Kansas,1,Technical Manager,18,"Follow-up on proposal, Customer inquiry, Product feedback, Contract negotiation, Product demostration",81,10018.1,9,0.45,76,B
"Anderson, Armstrong and Macdonald",Small,Electric Vehicle (EV) Industry,East Rodneybury,Kentucky,1,CFO,18,"Customer inquiry, Contract negotiation, Product feedback, Follow-up on proposal, Product demostration, Discuss project details, Follow-up on order",64,10077.16,13,0.65,69,A
Ray Inc,Large,Connected Car Solutions Providers,Christopherville,Missouri,1,Sales Representative,17,"Customer inquiry, Product feedback, Product demostration, Follow-up on order, Discuss project details, Follow-up on proposal, Contract negotiation",67,10258.6,5,0.31,181,C
Meadows-Ayala,Large,Automotive R&D and Testing Centers,East Gary,Massachusetts,2,"CEO, Sales Representative",15,"Product feedback, Discuss project details, Follow-up on proposal, Product demostration, Customer inquiry, Contract negotiation, Follow-up on order",116,10056.27,8,0.33,90,B
Hutchinson LLC,Large,Electric Vehicle (EV) Industry,New George,Tennessee,2,"CEO, Technical Representative",13,"Customer inquiry, Discuss project details, Follow-up on order, Product demostration, Product feedback, Follow-up on proposal, Contract negotiation",72,9678.49,9,0.56,116,B
"Collins, Ramos and Miller",Small,Automotive R&D and Testing Centers,North Tracy,Alaska,2,"CFO, Technical Manager",16,"Product demostration, Product feedback, Follow-up on proposal, Discuss project details, Customer inquiry",69,10043.74,3,0.17,37,C
Wheeler-Anderson,Medium,Fleet Management,West Joannemouth,Alabama,3,"CCO, Sales Manager",10,"Product demostration, Contract negotiation, Follow-up on proposal, Discuss project details, Product feedback, Follow-up on order",91,9902.71,4,0.22,95,C
Robinson-Beck,Large,Ridesharing & Mobility Services,Michelleville,Tennessee,1,Technical Manager,18,"Product feedback, Contract negotiation, Follow-up on proposal, Follow-up on order, Discuss project details, Product demostration",130,10424.05,6,0.33,44,C
Jones-Sanders,Large,Connected Car Solutions Providers,West Whitneyhaven,Massachusetts,1,Technical Manager,18,"Customer inquiry, Follow-up on proposal, Follow-up on order, Discuss project details, Contract negotiation, Product feedback",45,9817.99,11,0.58,199,A
Edwards Ltd,Medium,Automotive R&D and Testing Centers,Petersmouth,Maryland,1,Sales Manager,15,"Follow-up on proposal, Follow-up on order, Discuss project details, Product feedback, Product demostration, Contract negotiation, Customer inquiry",121,10326.09,6,0.38,33,C
Johnson-Miller,Large,Connected Car Solutions Providers,Allisonhaven,Alaska,2,Sales Manager,10,"Product demostration, Customer inquiry, Discuss project details, Follow-up on proposal, Follow-up on order, Contract negotiation, Product feedback",34,9984.55,8,0.31,102,B
Maldonado Group,Large,Electric Vehicle (EV) Industry,West Maria,Louisiana,4,"CFO, Sales Manager, Technical Manager, CEO",16,"Customer inquiry, Product demostration, Discuss project details, Contract negotiation, Product feedback, Follow-up on proposal, Follow-up on order",53,9800.1,13,0.57,42,A
"Jackson, Wood and Phillips",Large,Electric Vehicle (EV) Industry,Port Kimberlyborough,Connecticut,1,Technical Representative,11,"Contract negotiation, Follow-up on proposal, Product demostration, Follow-up on order, Product feedback, Discuss project details, Customer inquiry",161,9800.25,13,0.65,46,A
"Reeves, Lee and Martin",Medium,Electric Vehicle (EV) Industry,Allenborough,Nevada,2,"Technical Representative, CEO",14,"Discuss project details, Contract negotiation, Customer inquiry, Follow-up on proposal, Product feedback",87,9744.16,4,0.22,147,C
"Morris, Walker and Reynolds",Large,Ridesharing & Mobility Services,South Erika,Louisiana,5,"Technical Representative, Sales Representative, CEO, CFO",13,"Contract negotiation, Discuss project details, Follow-up on proposal, Customer inquiry, Product feedback, Product demostration",120,10170.72,11,0.55,51,A
Robinson-Campbell,Small,Ridesharing & Mobility Services,West Sean,Alabama,1,Sales Representative,17,"Follow-up on proposal, Contract negotiation, Customer inquiry, Product demostration, Follow-up on order, Product feedback, Discuss project details",37,9723.02,8,0.36,61,B
Garza Inc,Small,Connected Car Solutions Providers,Thomasstad,Kansas,2,"CCO, Sales Representative",14,"Follow-up on order, Product feedback, Product demostration, Discuss project details, Customer inquiry, Contract negotiation, Follow-up on proposal",35,10218.43,15,0.56,53,A
Garcia LLC,Large,Fleet Management,Lake Dennischester,Arkansas,3,"Technical Manager, Technical Representative, CFO",18,"Contract negotiation, Follow-up on proposal, Discuss project details, Product feedback, Follow-up on order, Product demostration, Customer inquiry",90,9434.81,5,0.33,49,C
Macias Group,Large,Connected Car Solutions Providers,West Tammychester,Pennsylvania,2,"CEO, Sales Manager",22,"Follow-up on proposal, Contract negotiation, Product demostration, Customer inquiry, Product feedback, Follow-up on order, Discuss project details",72,9774.99,6,0.38,133,C
"Miller, Hatfield and Roberts",Medium,Electric Vehicle (EV) Industry,South Christon,Colorado,2,"Sales Manager, Technical Manager",14,"Contract negotiation, Customer inquiry, Discuss project details, Follow-up on proposal, Product demostration, Product feedback, Follow-up on order",111,10089.59,18,0.46,50,A
Brown-Davis,Large,Automobile Manufacturers (OEMs),Woodsport,Massachusetts,2,"Technical Manager, Sales Manager",24,"Customer inquiry, Contract negotiation, Follow-up on order, Follow-up on proposal, Product demostration, Product feedback",104,10391.06,8,0.38,57,B
"Baker, Jenkins and Gates",Large,Connected Car Solutions Providers,Annetteborough,Alabama,2,"CEO, CFO",22,"Product demostration, Follow-up on order, Contract negotiation, Customer inquiry, Follow-up on proposal, Discuss project details",74,10063.32,10,0.43,66,B
